gfx,cu_num,M,N,K,a_dtype,tile_m,tile_n,tile_k,us,tflops,gain_vs_heuristic_pct
gfx950,256,512,3584,7168,fp6,32,256,256,27.122,969.92,8.2
gfx950,256,128,4608,4096,fp6,32,128,256,15.617,309.39,14.6
gfx950,256,256,4608,4096,fp6,32,256,256,19.573,493.71,7.2
gfx950,256,512,4608,4096,fp6,32,128,128,21.034,918.87,18.0
gfx950,256,256,4608,7168,fp6,128,256,128,24.897,679.25,15.5
gfx950,256,64,5120,17408,fp6,128,256,128,26.061,437.76,45.8
gfx950,256,128,5120,17408,fp6,128,256,128,26.251,869.19,76.5
gfx950,256,256,5120,17408,fp6,128,256,128,40.896,1115.85,63.8
gfx950,256,512,5120,17408,fp6,128,256,128,68.106,1340.09,9.9
gfx950,256,128,7168,3584,fp6,32,128,256,15.292,430.08,6.2
gfx950,256,128,7168,4608,fp6,32,128,256,17.332,487.87,14.4
gfx950,256,64,9216,4096,fp6,32,128,256,15.267,316.49,14.7
gfx950,256,128,9216,4096,fp6,32,256,256,18.825,513.34,8.1
gfx950,256,256,9216,4096,fp6,64,256,128,24.301,795.32,32.1
gfx950,256,512,9216,4096,fp6,32,256,128,32.461,1190.81,26.8
gfx950,256,64,9216,7168,fp6,32,128,256,21.324,396.53,33.6
gfx950,256,128,9216,7168,fp6,128,256,128,25.752,656.71,15.8
gfx950,256,256,9216,7168,fp6,128,256,128,36.105,936.80,33.4
gfx950,256,512,9216,7168,fp6,128,256,128,49.257,1373.33,32.2
gfx950,256,1,16384,16384,fp6,32,256,256,26.979,19.90,42.5
gfx950,256,2,16384,16384,fp6,32,256,256,26.493,40.53,49.2
gfx950,256,4,16384,16384,fp6,32,256,256,26.564,80.84,50.4
gfx950,256,8,16384,16384,fp6,32,256,256,26.515,161.98,55.5
gfx950,256,16,16384,16384,fp6,32,256,256,26.589,323.07,60.3
gfx950,256,32,16384,16384,fp6,32,256,256,28.136,610.60,50.4
gfx950,256,64,16384,16384,fp6,64,256,256,33.364,1029.85,80.2
gfx950,256,128,16384,16384,fp6,128,256,128,43.537,1578.42,113.9
gfx950,256,256,16384,16384,fp6,128,256,128,77.307,1777.84,45.1
gfx950,256,512,16384,16384,fp6,128,256,128,128.261,2143.11,30.1
gfx950,256,1,16384,53248,fp6,32,256,256,88.606,19.69,69.6
gfx950,256,2,16384,53248,fp6,32,256,256,88.664,39.36,69.5
gfx950,256,4,16384,53248,fp6,32,256,256,89.737,77.78,67.4
gfx950,256,8,16384,53248,fp6,32,256,256,89.674,155.66,67.2
gfx950,256,16,16384,53248,fp6,32,256,256,90.987,306.83,65.0
gfx950,256,32,16384,53248,fp6,32,256,256,93.549,596.85,61.5
gfx950,256,64,16384,53248,fp6,64,256,256,112.510,992.53,63.5
gfx950,256,128,16384,53248,fp6,128,256,128,149.988,1489.04,92.0
gfx950,256,256,16384,53248,fp6,128,256,128,259.791,1719.37,30.6
gfx950,256,512,16384,53248,fp6,128,256,128,466.518,1914.94,17.8
gfx950,256,1,18432,16384,fp6,32,256,256,33.469,18.05,82.3
gfx950,256,2,18432,16384,fp6,32,256,256,33.231,36.35,84.2
gfx950,256,4,18432,16384,fp6,32,256,256,33.530,72.05,83.1
gfx950,256,8,18432,16384,fp6,32,256,256,33.661,143.54,82.6
gfx950,256,16,18432,16384,fp6,32,256,256,34.514,279.99,78.7
gfx950,256,32,18432,16384,fp6,32,256,256,34.781,555.69,77.5
gfx950,256,64,18432,16384,fp6,64,256,256,49.594,779.43,56.6
gfx950,256,128,18432,16384,fp6,128,256,128,62.234,1242.23,89.4
gfx950,256,256,18432,16384,fp6,128,256,128,110.430,1400.16,44.6
gfx950,256,512,18432,16384,fp6,128,256,128,162.445,1903.65,34.6
gfx950,256,1,106496,16384,fp6,32,128,128,163.984,21.28,5.3
gfx950,256,2,106496,16384,fp6,32,128,128,163.806,42.61,5.1
gfx950,256,64,106496,16384,fp6,64,256,256,193.481,1154.31,49.3
gfx950,256,128,106496,16384,fp6,128,256,128,223.466,1998.86,129.7
gfx950,256,256,106496,16384,fp6,128,256,128,373.733,2390.35,48.1
gfx950,256,512,106496,16384,fp6,128,256,128,681.269,2622.61,50.1
gfx950,256,512,576,7168,fp8,32,64,256,15.311,276.13,68.9
gfx950,256,256,1280,4096,fp8,32,64,128,14.776,181.67,70.1
gfx950,256,256,1280,8192,fp8,32,64,256,22.755,235.94,14.1
gfx950,256,512,1280,8192,fp8,32,128,256,21.366,502.55,6.5
gfx950,256,256,1536,7168,fp8,32,64,256,18.743,300.76,36.3
gfx950,256,512,2112,7168,fp8,32,64,256,22.944,675.65,6.2
gfx950,256,256,3584,7168,fp8,32,128,256,21.554,610.24,11.4
gfx950,256,128,4096,7168,fp8,32,64,256,20.275,370.71,17.5
gfx950,256,256,4608,4096,fp8,128,64,256,16.098,600.29,10.9
gfx950,256,512,4608,4096,fp8,128,64,256,19.150,1009.24,8.0
gfx950,256,64,4608,7168,fp8,32,64,256,17.399,242.99,43.8
gfx950,256,64,5120,6144,fp8,32,64,256,15.823,254.47,63.1
gfx950,256,64,5120,17408,fp8,64,128,256,26.082,437.40,50.5
gfx950,256,128,5120,17408,fp8,128,128,256,26.505,860.85,61.7
gfx950,256,256,5120,17408,fp8,128,128,256,42.228,1080.65,19.9
gfx950,256,256,7168,3584,fp8,64,128,256,15.207,864.93,21.6
gfx950,256,128,7168,4608,fp8,64,64,256,15.469,546.61,6.6
gfx950,256,256,7168,4608,fp8,64,64,256,17.707,955.08,27.1
gfx950,256,512,7168,4608,fp8,128,64,256,22.693,1490.42,5.9
gfx950,256,128,9216,4096,fp8,64,128,256,16.066,601.50,7.3
gfx950,256,256,9216,4096,fp8,64,64,256,19.643,983.94,48.3
gfx950,256,512,9216,4096,fp8,128,128,256,28.772,1343.47,13.4
gfx950,256,256,9216,7168,fp8,64,128,256,26.994,1252.96,64.1
gfx950,256,512,9216,7168,fp8,128,128,256,43.525,1554.17,15.1
gfx950,256,1,16384,16384,fp8,32,256,256,26.809,20.03,33.4
gfx950,256,2,16384,16384,fp8,32,256,256,26.487,40.54,35.8
gfx950,256,4,16384,16384,fp8,32,256,256,26.549,80.89,41.7
gfx950,256,8,16384,16384,fp8,32,256,256,26.669,161.05,43.3
gfx950,256,16,16384,16384,fp8,32,256,256,26.745,321.18,39.3
gfx950,256,32,16384,16384,fp8,32,256,256,28.139,610.53,49.5
gfx950,256,64,16384,16384,fp8,64,256,256,35.172,976.91,72.9
gfx950,256,128,16384,16384,fp8,128,128,256,43.547,1578.06,106.2
gfx950,256,256,16384,16384,fp8,128,64,256,72.467,1896.57,31.9
gfx950,256,512,16384,16384,fp8,128,128,256,111.345,2468.69,42.1
gfx950,256,1,16384,53248,fp8,32,256,256,92.229,18.92,62.6
gfx950,256,2,16384,53248,fp8,32,256,256,91.392,38.18,64.1
gfx950,256,4,16384,53248,fp8,32,256,256,92.120,75.76,62.7
gfx950,256,8,16384,53248,fp8,32,256,256,92.507,150.89,62.2
gfx950,256,16,16384,53248,fp8,32,256,256,93.626,298.18,60.6
gfx950,256,32,16384,53248,fp8,32,256,256,96.401,579.19,87.7
gfx950,256,64,16384,53248,fp8,64,256,256,110.177,1013.54,65.4
gfx950,256,128,16384,53248,fp8,128,256,256,141.334,1580.21,106.3
gfx950,256,256,16384,53248,fp8,256,256,128,240.720,1855.59,32.9
gfx950,256,512,16384,53248,fp8,128,128,256,386.310,2312.53,28.0
gfx950,256,1,18432,16384,fp8,32,256,256,35.120,17.20,16.1
gfx950,256,2,18432,16384,fp8,32,256,256,34.827,34.68,17.7
gfx950,256,4,18432,16384,fp8,32,256,256,34.707,69.61,17.5
gfx950,256,8,18432,16384,fp8,32,256,256,35.062,137.81,17.8
gfx950,256,16,18432,16384,fp8,32,256,256,35.949,268.81,17.6
gfx950,256,32,18432,16384,fp8,32,256,256,36.054,536.07,22.9
gfx950,256,64,18432,16384,fp8,64,256,256,45.644,846.87,37.5
gfx950,256,128,18432,16384,fp8,128,64,256,63.328,1220.78,86.5
gfx950,256,256,18432,16384,fp8,128,128,256,95.895,1612.37,28.1
gfx950,256,512,18432,16384,fp8,128,128,128,148.724,2079.27,42.3
gfx950,256,16,106496,16384,fp8,32,256,128,166.128,336.09,5.6
gfx950,256,32,106496,16384,fp8,32,256,128,165.924,673.01,7.7
gfx950,256,64,106496,16384,fp8,64,256,256,180.916,1234.48,63.6
gfx950,256,128,106496,16384,fp8,128,256,128,226.394,1973.00,128.8
gfx950,256,256,106496,16384,fp8,128,256,128,406.166,2199.48,44.7
gfx950,256,512,106496,16384,fp8,128,256,128,747.817,2389.23,32.6
