gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1024,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,77.74,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.9%,46.7374,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_reduce_nt_sbm64,1.1%,124.4774,0,0,0,1164.51,9224.09
gfx950,256,2048,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,98.8523,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_fp4,0.9%,67.2488,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_reduce_nt_sbm128,1.2%,166.1011,0,0,0,1745.38,7007.29
gfx950,256,4096,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,164.9532,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_bnt0_fp4,0.9%,113.1534,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_reduce_sbm128,1.2%,278.1066,0,0,0,2084.89,4298.27
gfx950,256,8192,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,285.6956,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.9%,201.2479,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,1.2%,486.9435,0,0,0,2381.47,2584.06
gfx950,256,16384,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,490.8683,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4_fp4,0.9%,386.1223,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,1.2%,876.9906,0,0,0,2644.59,1578.26
gfx950,256,32768,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,919.5599,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4_fp4,0.9%,756.9637,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,1.2%,1676.5236,0,0,0,2766.78,975.7
gfx950,256,1,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.1587,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_kw4_fp4,0.9%,9.8588,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,21.0175,0,0,0,10.1,53882.59
gfx950,256,2,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,16.3,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_bnt0_kw4_fp4,0.9%,12.3781,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,1.2%,28.6781,0,0,0,14.81,39489.81
gfx950,256,4,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.9627,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_xcd4_fp4,0.2%,18.3196,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,2.1%,46.2823,0,0,0,18.35,24469.91
gfx950,256,8,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,41.4983,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw2_fp4,0.2%,26.8826,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,2.7%,68.3809,0,0,0,24.84,16562.88
gfx950,256,16,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,48.7211,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.2%,32.0257,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,2.7%,80.7468,0,0,0,42.07,14027.9
gfx950,256,32,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,66.1816,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw4_fp4,0.9%,37.0493,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,103.2309,0,0,0,65.82,10974.95
gfx950,256,64,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,65.8029,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw4_fp4,0.1%,40.9112,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.6%,106.7141,0,0,0,127.35,10621.32
gfx950,256,128,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,69.4386,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,0.9%,37.7086,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.2%,107.1472,0,0,0,253.66,10587.57
gfx950,256,256,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,72.7763,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,0.9%,40.3314,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,113.1077,0,0,0,480.59,10047.01
gfx950,256,512,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,79.16,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,0.1%,49.4427,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,2.6%,128.6027,0,0,0,845.37,8867.05
gfx950,256,1024,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,96.1189,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_fp4,0.1%,63.2336,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_sbm128,2.6%,159.3525,0,0,0,1364.48,7205.35
gfx950,256,2048,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,157.1516,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_xcd4,0.0%,95.3616,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_sbm128,2.6%,252.5132,0,0,0,1722.15,4609.34
gfx950,256,4096,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,247.8184,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.1%,159.01,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2,2.6%,406.8284,0,0,0,2137.83,2938.28
gfx950,256,8192,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,386.7705,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.9%,282.22,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,1.2%,668.9905,0,0,0,2600.13,1880.88
gfx950,256,16384,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,715.8345,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4_fp4,0.1%,574.9296,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2,2.6%,1290.7641,0,0,0,2695.24,1072.33
gfx950,256,32768,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1318.8618,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4_fp4,0.1%,1119.4776,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2,2.6%,2438.3394,0,0,0,2853.52,670.86
gfx950,256,1,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,18.335,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,18.335,0,0,0,6.43,205884.32
gfx950,256,2,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,20.0025,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.1%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,1.1%,20.0025,0,0,0,11.8,188721.63
gfx950,256,4,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.8286,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_xcd4,1.1%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_nt_sbm16,1.1%,26.8286,0,0,0,17.59,140705.63
gfx950,256,8,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,42.4305,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt,1.1%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.1%,42.4305,0,0,0,22.24,88968.94
gfx950,256,16,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,71.6011,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,71.6011,0,0,0,26.36,52724.32
gfx950,256,32,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,128.0271,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_nt_sbm16,1.2%,128.0271,0,0,0,29.48,29488.8
gfx950,256,64,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,205.9218,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,205.9218,0,0,0,36.66,18336.36
gfx950,256,128,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,284.7338,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,284.7338,0,0,0,53.03,13264.46
gfx950,256,256,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,311.9891,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,311.9891,0,0,0,96.8,12111.98
gfx950,256,512,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,206.8732,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,116.5511,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,323.4243,0,0,0,186.75,11695.9
gfx950,256,1024,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,342.2147,flydsl_mxmoe_g1_a4w4_32x64x256_nt_kw2_xcd4_w2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,342.2147,0,0,0,352.98,11076.68
gfx950,256,2048,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,378.4069,flydsl_mxmoe_g1_a4w4_64x256x256_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_nt_sbm64,1.2%,378.4069,0,0,0,638.44,10058.83
gfx950,256,4096,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,553.3216,flydsl_mxmoe_g1_a4w4_64x256x256_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_sbm64,1.2%,553.3216,0,0,0,873.24,6935.91
gfx950,256,8192,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,785.6544,flydsl_mxmoe_g1_a4w4_64x256x256_xcd4,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.2%,785.6544,0,0,0,1230.02,4964.91
gfx950,256,16384,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1315.479,flydsl_mxmoe_g1_a4w4_64x256x256_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.2%,1315.479,0,0,0,1469.23,3060.89
gfx950,256,32768,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2362.4787,flydsl_mxmoe_g1_a4w4_128x256x256_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x128_reduce_sbm128,1.2%,2362.4787,0,0,0,1636.19,1810.89
